"Feature","VIF","Max_Abs_Corr_With_Other_Lag","Month_Block"
"wti_m0_w1",1.465,0.442,"Current month"
"wti_m0_w2",1.403,0.343,"Current month"
"wti_m0_w3",1.455,0.34,"Current month"
"wti_m0_w4",1.603,0.406,"Current month"
"wti_m1_w1",1.435,0.448,"Prior month"
"wti_m1_w2",1.586,0.406,"Prior month"
"wti_m1_w3",1.566,0.343,"Prior month"
"wti_m1_w4",1.791,0.442,"Prior month"
"wti_m2_w1",1.226,0.346,"Two months ago"
"wti_m2_w2",1.567,0.406,"Two months ago"
"wti_m2_w3",1.486,0.343,"Two months ago"
"wti_m2_w4",1.551,0.448,"Two months ago"
